,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Location Info,Retweets,Favorites,Language,Source,Subjectivity,Polarity
11,"No pares, sigue sigue 🎶

Seguimos haciendo sus envíos por _app.

Abiertos hasta las 09:00 P.M. 🤩 ",2021-09-17 02:35:18,1438693012914200582,TechloverStore,,0,5,es,Twitter for Android,0.0,0.0
12,"_app como siempre de irresponsables, el banco solicita una carta por el proceso de devolución por el pedido que ustedes me cobraron y no enviaron.
Y hasta terminaron bloqueandome. Nunca enviaron nada. _910 como pueden trabajar este tipo de empresas IRRESPONSABLES ",2021-09-16 17:42:32,1438558937914167299,Lilypop___,"San Salvador, El Salvador",0,1,es,Twitter for iPhone,0.0,0.0
13,"_carlos _Villeda _app Lo q te quiero decir es q Olimpia con los Villeda, Ferrari etc NO NECESITA MANCHAR LA CAMISA con tanta publicidad es mi forma de ver, podrian hacer acuerdos comerciales de otra forma",2021-09-16 10:27:38,1438449490999095297,17moises17,Honduras,0,0,es,Twitter for Android,0.0,0.0
14,"100 días. Increíble 

Ojalá PedidosYa les quite el negocio _app",2021-09-16 02:35:39,1438330711430340610,oscarflores8_,Latinoamérica,0,1,es,Twitter for iPhone,0.0,0.0
15,"Llegué al punto de quitarles el permiso de notificaciones, si joden ustedes _app",2021-09-15 23:11:54,1438279437393571859,JulioF_2012,Where Amazing Happens.,0,5,es,Twitter for iPhone,0.0,0.0
16, _app Puras doñitas nosotros emocionados por compras del super jajaja,2021-09-15 22:19:49,1438266331598569474,unguanacoentgu,Honduras,0,0,es,Twitter for Android,0.6666666666666666,0.3333333333333333
17, _app Jajaja me encanta amigo🛒💜🛒💜,2021-09-15 22:13:55,1438264846810763264,kassmayorga,Honduras,0,0,es,Twitter for iPhone,0.0,0.0
18," _Villeda _app La camiseta como la del Atlas sí que lastima la identidad del club porque no tiene nada que ver con nuestros colores, igual fue cuando le pusieron la banda; muchos desaciertos.",2021-09-15 22:08:51,1438263568923828226,hn_carlos,,0,0,es,Twitter Web App,0.0,0.0
19, _app Ya pedí a Diprova y a la Colonia ya hice mi super jajaja,2021-09-15 22:04:07,1438262380761387016,unguanacoentgu,Honduras,0,2,es,Twitter for Android,0.6666666666666666,0.3333333333333333
20, _app Genial ya pido,2021-09-15 21:15:07,1438250047909531653,unguanacoentgu,Honduras,0,0,es,Twitter for Android,0.0,0.0
21, _app En toditos 🛒,2021-09-15 21:14:53,1438249988425977860,kassmayorga,Honduras,0,1,es,Twitter for iPhone,0.0,0.0
22, _app De que super? O de todos en la categoría super mercado,2021-09-15 21:14:25,1438249872872837124,unguanacoentgu,Honduras,0,0,es,Twitter for Android,0.6666666666666666,0.3333333333333333
23,"Ey, hay 50% de descuento en sus compras arriba de L1,500 en la categoría de Supermercados en _app 🇭🇳💜 aprovechen que todavía pueden pedir! consejosdedoñakass ",2021-09-15 21:10:07,1438248789962366982,kassmayorga,Honduras,0,2,es,Twitter for iPhone,0.0,0.0
24,"_carlos _Villeda _app Supones mal, lo digo no por la empresa hugo sino por como cada vez mas esa camisa va pareciendo valla publicitaria Olimpia no necesita Mancharla si quiere patrocinadores q  lo hagan de otra forma",2021-09-15 21:03:13,1438247052761354242,17moises17,Honduras,0,0,es,Twitter for Android,0.0,0.0
25,"_app para cuando tendrán integración para pagos con bitcoin? Bitrefill no es integración, eso es un servicio externo.",2021-09-15 20:41:28,1438241578183757828,palvarezSV,Santa Rosa De Lima,0,0,es,Twitter for iPad,0.0,0.0
26,"_app Lo correcto es la primera SuperApp y no la primer SuperApp.

Corríjanlo.",2021-09-15 15:58:20,1438170326341402630,hn_carlos,,0,0,es,Twitter Web App,0.0,0.0
27," _Villeda Supongo que lo dices porque parece un nombre de persona. Creo que mejor debieron imprimirle _app 

Todavía podrían estar a tiempo. 

Hugo enmedio del círculo morado también, aunque quitaría bastante espacio si algún día quisieran ponerle más patrocinadores.

Buen día.",2021-09-15 15:55:56,1438169723833917442,hn_carlos,,0,0,es,Twitter Web App,0.0,0.0
28,": En NaciónOlimpistaRadio se dió a conocer los detalles de la firma del contrato entre _app y 
 
1.🚴🏻‍♀️…",2021-09-15 15:24:17,1438161757051174915,luracruz,,12,0,es,Twitter for Android,0.0,0.0
29,"Este 15 de septiembre queremos decirles que AMAMOS EL SALVADOR. Y que apoyamos lo local. 

Por eso nuestras plataformas principales son _app y _. Plataformas hechas con amor en El Salvador. 🇸🇻",2021-09-15 15:14:49,1438159374560735237,TechloverStore,,0,4,es,Twitter Web App,0.0,0.0
30,": ¡Hola _app! 👋🏼👋🏼Bienvenidos a la familia más grande de Honduras, bienvenidos a la NaciónOlimpista. 🦁 ",2021-09-15 06:50:18,1438032408247472130,DennisFernnde10,Barrio La Leona Honduras ,13,0,es,Twitter for Android,0.0,0.0
31,": ¡Bienvenido Hugo! 🤝_app

Esta mañana firmamos la alianza comercial con nuestro nuevo patrocinador Hugo en las instalaci…",2021-09-15 06:46:23,1438031422711816193,DennisFernnde10,Barrio La Leona Honduras ,28,0,es,Twitter for Android,0.0,0.0
32, _app Que empresa ocupaba ese espacio en la camisa o estaba vacío el espacio?,2021-09-15 06:18:19,1438024361785581575,Ivan_E17,,0,0,es,Twitter for iPhone,0.0,0.0
33,": En NaciónOlimpistaRadio se dió a conocer los detalles de la firma del contrato entre _app y 
 
1.🚴🏻‍♀️…",2021-09-15 06:12:48,1438022971248058368,_CarlosJossue,Honduras,12,0,es,Twitter for iPhone,0.0,0.0
